# generated on 2025-09-02 19:11:39.042695736 UTC with Config {startDate = 2021-08-01 00:00:00 UTC, endDate = 2025-08-01 00:00:00 UTC}
githubId,githubUsername,commits,merges
100007968,VulpesDaemon,1,0
100240294,florian-sanders-cc,10,0
100245234,joshheinrichs-shopify,12,0
100319043,H3rmt,1,0
10039785,jsoo1,50,0
10042482,desttinghim,2,0
1006477,felixonmars,1,0
10068296,bb4242,1,0
100719407,caden-parajuli,1,0
1007446,ajor,1,0
1007479,yasinuslu,1,0
10075099,bratfizyk,77,0
1007894,jeslinmx,2,0
10079854,remgodow,1,0
100805577,theklaaa,1,0
100848,Moredread,23,0
100929,afwlehmann,1,0
10094408,8bitbuddhist,40,0
100993,knoopx,2,0
100994,AlexLov,1,0
100999,etehtsea,1,0
101001298,qxrein,15,0
101015050,sudanchapagain,2,0
1010174,bgamari,21,0
1010226,thibaultmol,1,0
1010248,frlan,17,0
1010468,alexshpilkin,26,0
10106819,eilvelia,16,0
101071881,Vcele,2,0
101197249,BlaiZephyr,2,0
1012426,dyfrgi,2,0
101289702,SkohTV,2,0
10131418,gerrydoro,3,0
1013846,gares,5,0
101422,ciferkey,9,0
10145351,Vinetos,17,0
101484,Alexis211,5,0
101508537,Lilacious,9,0
101514,orivej,61,0
10152702,alloveras,3,0
1015381,takac,6,0
101565936,tc-kaluza,2,0
10156748,gloaming,1,0
1015816,jlbribeiro,52,0
101593,jceb,19,0
101594032,florentinl,1,0
101639,Twey,8,0
10164833,birkb,10,0
101680,parthy,10,0
1017132,Ingramz,2,0
10171367,jkxyz,1,0
101728675,mbey-mw,2,0
1017332,sirchia,1,0
101739,johnhamelink,2,0
101753,phaer,173,57
10180699,karlskewes,2,0
101816,asymmetric,95,54
101851090,2gn,11,0
1018801,pitkling,18,0
101905225,purpole,6,0
1019641,rvl,111,0
10196826,aspauldingcode,3,0
10198051,drewrisinger,59,0
1020064,jfietz,1,0
10202735,andrew-myer,1,0
102048662,da-luce,2,0
10206665,teutat3s,685,0
10212424,superwhiskers,26,0
1021512,neuschaefer,4,0
10219026,hexacera,1,0
10219618,angaz,4,0
102221758,ToborWinner,2,0
10223270,MarcusWagberg,4,0
102361830,cswimr,1,0
102366750,esceral,1,0
1023752,ngerstle,2,0
1023814,adomixaszvers,2,0
102413831,tipozodis,1,0
10246891,zmitchell,66,15
1024891,queezle42,14,0
102513,AngryAnt,22,0
10260599,jakobkukla,6,0
10263091,365tuwe,5,0
10263813,frogamic,22,0
102648088,mcsimw,1,0
102685,tasmo,1,0
102699372,Peter015,1,0
10273736,rjandev,3,0
1027513,anandsuresh,2,0
1027766,melias122,2,0
102781,supermario,2,0
102849,bobot,1,0
102890144,YisuiDenghua,3,0
10290409,JacoMalan1,10,0
10290864,MDM23,8,0
1029631,juselius,2,0
10299109,jslight90,7,0
1029947,a-h,1,0
1031119,wavewave,4,0
103114856,imxyy1soope1,1,0
1032242,metaspace,1,0
10325981,nhey,2,0
10326063,lukaslihotzki,6,0
103301930,dakota-doordash,1,0
103313934,funkeleinhorn,18,0
10335942,pdietl,2,0
10338031,X9VoiD,5,0
103437,codyps,10,0
10344742,ethanabrooks,0,1
103497280,tksldk,1,0
10352507,kmein,18,0
10352679,simonhammes,1,0
10353047,Gerschtli,8,0
10356230,Gigahawk,7,0
10365257,arthurrump,2,0
10366065,ninjawarrior1337,2,0
10372888,vkleen,2,0
103822,pmahoney,1,0
10383569,lap1nou,1,0
10383737,B4rc1,4,0
103838,GrahamDennis,5,0
1039174,xduugu,2,0
103952141,oaksoaj,4,0
103975454,j-lgs,1,0
103979114,booklearner,6,0
10400299,arjan-s,97,0
10401120,andreacoradi,1,0
104018233,mike7d7,1,0
1040249,panayiotis,1,0
104072649,alfarelcynthesis,7,0
104084138,avaDarwin,1,0
1040871,sveitser,13,0
1040943,paolostivanin,1,0
104151392,hcwf,2,0
104154,nikolaik,2,0
10415894,Zahrun,21,0
10420834,CajuM,22,0
104238274,wuyoli,14,0
1042548,mtzanidakis,1,0
1042946,Foxboron,2,0
10430178,campbellcole,1,0
104313094,ASHGOLDOFFICIAL,7,0
104317939,algorithmiker,47,0
1043363,wathiede,4,0
104339,tomassedovic,1,0
10437171,soywod,24,0
1043980,XenGi,5,0
1044263,brianmcgillion,41,0
104473808,PopCat19,1,0
1044950,ibizaman,14,0
104558,Ralith,11,0
104577296,goodylove,3,0
104593071,osnyx,42,0
10459406,cilki,2,0
1046027,mjgallag,2,0
104658278,unclamped,4,0
104687438,langsjo,16,0
104688305,rafa-dot-el,3,0
104690672,tahlonbrahic,1,0
10473184,podocarp,11,0
1047859,kazcw,5,0
104795,mmahut,2,8
10487782,phijor,10,0
1048831,asimpson,1,0
104896700,benradf,45,0
1049261,adammitha,3,0
10492681,Enzime,161,0
104951,akho,2,0
10496191,sifmelcara,25,0
1050,calavera,5,0
10504672,langfingaz,1,0
105114,wkral,16,0
1051414,JBassett,16,0
105168,dbrgn,2,0
105204,gotcha,1,0
105207964,70m6,7,0
105302757,rubyowo,5,0
10530973,syvb,10,0
10541219,GabrielDougherty,5,0
105428155,kilianar,549,0
105451387,mariaa144,5,0
105480088,franzmondlichtmann,2,0
10549023,tmyllymaki,1,0
105506,djgoku,1,0
105509097,Marigold-infrabot,29,0
10552031,NiklasGollenstede,3,0
1055216,shackra,3,0
1055245,Ericson2314,2551,1077
10554636,linuxmobile,15,0
10554686,A-Manning,1,0
105565,amiryal,2,0
105582686,zeshi09,8,0
105598867,0xMRTT,12,0
105644136,hashelq,1,0
10565807,lulu-berlin,2,0
105697122,wjjunyor,4,0
10577181,madsmtm,1,0
1057789,typedrat,3,0
1058151,pvonmoradi,25,0
105843013,snpschaaf,14,0
1058504,jlesquembre,86,0
10587952,armijnhemel,7,0
1059661,clebs,5,0
105999094,Gabgobie,1,0
10601196,mothsART,7,0
1060224,avakhrenev,1,0
106054083,dandedotdev,3,0
10610335,abraham-chan,1,0
106119328,ruby0b,14,0
106133389,colin-arnott-xero,4,0
106241330,xosnrdev,12,0
106266438,jasoncrevier,2,0
10643,zx2c4,1,0
1064317,Jegp,1,0
1064477,Hornwall,4,0
106456302,onemoresuza,104,0
106473360,wiki-nixos,3,0
106587,dylex,2,0
10659529,melnary,4,0
106607441,correabuscar,1,0
106662,serpent213,3,0
1066652,Technius,6,0
106669955,shard77,5,0
106671,hcvst,1,0
106709944,uninsane,283,157
106779009,slam-bert,1,0
1067896,mrobbetts,2,0
10679234,arichtman,2,0
10682187,keksbg,6,0
10686906,brendanreis,2,0
10689811,Kitt3120,4,0
10690970,jaduff,2,0
10691440,Binary-Eater,14,0
106916147,JetHair,3,0
1069247,runeksvendsen,1,0
10693,jboyens,5,0
1069303,Zoomulator,1,0
1069318,roblabla,24,0
10695734,MarkusLohmayer,1,0
10701143,CyborgPotato,5,0
107034852,daniyalsuri6,3,0
10704423,vancluever,6,0
10705175,kuwii,5,0
107097,belak,1,0
10713,rubenfonseca,1,0
1071610,broke,2,0
1072181,kbudde,6,0
107261,onsails,34,0
107277883,henrikwiller,1,0
10728024,lzszt,1,0
107301,kvark,18,0
10733175,axgfn,9,0
10734740,jessebrennan,1,0
10746692,luleyleo,3,0
107522312,lavafroth,11,0
10761079,jakobrs,3,0
107689,jshholland,10,0
107703,samuelrivas,4,0
107720,motiejus,28,0
1077480,coonce,5,0
10776658,avagordon01,1,0
10778160,barbosaaob,4,0
10779093,potb,3,0
1078000,alejandrosame,62,1
10787844,Jaculabilis,17,0
10788630,hackardoX,1,0
1079173,andrew-d,8,0
10799507,fishi0x01,3,0
10803111,yanganto,7,0
108041238,404Wolf,5,0
108157737,Rhys-T,31,0
108175,chadcatlett,1,0
108175486,honnip,80,0
10829914,dianqk,1,0
10830505,ondrejfuhrer,2,0
108326967,stupidcomputer,3,0
10835147,Zaczero,17,0
108359063,pete3n,1,0
108368394,K4rlosReyes,2,0
10837173,qdlmcfresh,3,0
108410815,alurm,1,0
10843250,ivanmoreau,2,0
108435628,itstarsun,3,0
1084680,jspiers,5,0
1084688,RodEsp,3,0
1084748,uvNikita,29,0
108559753,Eggflaw,1,0
108588212,elliott-farrall,2,0
10859387,dvn0,12,0
108633,clhodapp,4,0
108695806,pxrl,1,0
10871181,MadMcCrow,2,0
1087544,anund,20,0
108771991,akssri,2,0
108782125,DamitusThyYeetus123,2,0
10889879,addition-tg,3,0
10891979,Sirius902,2,0
108980279,ArchercatNEO,6,0
10899984,clementpoiret,5,0
10901304,lukas-mertens,4,0
10908495,benxiao,18,0
10908649,graham33,9,0
10909708,covert8,2,0
109126,Kha,11,0
109141,madjar,4,4
109148863,Error-undef,1,0
109239453,Hal-AB,1,0
1092741,christoph-cullmann,2,0
10927621,abennett,1,0
109436855,13621,2,0
10949560,dgramop,1,0
10949861,TheConcierge,2,0
10951745,shellhazard,3,0
109548666,cameroncuttingedge,3,0
109551954,asyncmeow,1,0
109563705,Xantibody,3,0
10965841,Kansattica,1,0
109692107,ardishko,10,0
1097073,tonyfinn,1,0
10973664,ErinvanderVeen,7,0
109739558,jarkad,2,0
1097524,DolceTriade,1,0
1097794,abhillman,1,0
10982331,ejls,1,0
